Label,Value,Region
"Egypt, Arab Rep.",114535772,Middle East & North Africa
"Iran, Islamic Rep.",90608707,Middle East & North Africa
Algeria,46164219,Middle East & North Africa
Iraq,45074049,Middle East & North Africa
"Yemen, Rep.",39390799,Middle East & North Africa
Morocco,37712505,Middle East & North Africa
Saudi Arabia,33264292,Middle East & North Africa
Syrian Arab Republic,23594623,Middle East & North Africa
Tunisia,12200431,Middle East & North Africa
Jordan,11439213,Middle East & North Africa
United Arab Emirates,10483751,Middle East & North Africa